Station ID,Station,Lines
254,Jamaica-179 St,F
255,169 St,F
256,Parsons Blvd,F
257,Sutphin Blvd,F
258,Briarwood,E F
259,Kew Gardens-Union Tpke,E F
260,75 Av,E F
261,Forest Hills-71 Av,E F M R
262,67 Av,M R
263,63 Dr-Rego Park,M R
264,Woodhaven Blvd,M R
265,Grand Av-Newtown,M R
266,Elmhurst Av,M R
267,Jackson Hts-Roosevelt Av,E F M R
268,65 St,M R
269,Northern Blvd,M R
270,46 St,M R
271,Steinway St,M R
272,36 St,M R
273,Queens Plaza,E M R
274,Court Sq-23 St,E M
275,Lexington Av/53 St,E M
276,5 Av/53 St,E M
277,7 Av,B D E
278,Jamaica Center-Parsons/Archer,E J Z
279,Sutphin Blvd-Archer Av-JFK Airport,E J Z
280,Jamaica-Van Wyck,E
281,Court Sq,G
282,21 St,G
283,Greenpoint Av,G
284,Nassau Av,G
285,Metropolitan Av,G
286,Broadway,G
287,Flushing Av,G
288,Myrtle-Willoughby Avs,G
289,Bedford-Nostrand Avs,G
290,Classon Av,G
291,Clinton-Washington Avs,G
292,Fulton St,G
293,Van Cortlandt Park-242 St,1
294,238 St,1
295,231 St,1
296,Marble Hill-225 St,1
297,215 St,1
298,207 St,1
299,Dyckman St,1
300,191 St,1
301,181 St,1
302,168 St-Washington Hts,1
303,157 St,1
304,145 St,1
305,137 St-City College,1
306,125 St,1
307,116 St-Columbia University,1
308,Cathedral Pkwy (110 St),1
309,103 St,1
310,96 St,1 2 3
311,86 St,1
312,79 St,1
313,72 St,1 2 3
314,66 St-Lincoln Center,1
315,59 St-Columbus Circle,1
316,50 St,1
317,Times Sq-42 St,1 2 3
318,34 St-Penn Station,1 2 3
319,28 St,1
320,23 St,1
321,18 St,1
322,14 St,1 2 3
323,Christopher St-Sheridan Sq,1
324,Houston St,1
325,Canal St,1
326,Franklin St,1
327,Chambers St,1 2 3
328,WTC Cortlandt,1
329,Rector St,1
330,South Ferry,1
331,Park Place,2 3
332,Fulton St,2 3
333,Wall St,2 3
334,Clark St,2 3
335,Borough Hall,2 3
336,Hoyt St,2 3
337,Nevins St,2 3 4 5
338,Atlantic Av-Barclays Ctr,2 3 4 5
339,Bergen St,2 3
340,Grand Army Plaza,2 3
341,Eastern Pkwy-Brooklyn Museum,2 3
342,Franklin Av-Medgar Evers College,2 3 4 5
343,Nostrand Av,3
344,Kingston Av,3
345,Crown Hts-Utica Av,3 4
346,Sutter Av-Rutland Rd,3
347,Saratoga Av,3
348,Rockaway Av,3
349,Junius St,3
350,Pennsylvania Av,3
351,Van Siclen Av,3
352,New Lots Av,3
353,President St-Medgar Evers College,2 5
354,Sterling St,2 5
355,Winthrop St,2 5
356,Church Av,2 5
357,Beverly Rd,2 5
358,Newkirk Av-Little Haiti,2 5
359,Flatbush Av-Brooklyn College,2 5
360,Pelham Bay Park,6
361,Buhre Av,6
362,Middletown Rd,6
363,Westchester Sq-E Tremont Av,6
364,Zerega Av,6
365,Castle Hill Av,6
366,Parkchester,6
367,St Lawrence Av,6
368,Morrison Av-Soundview,6
369,Elder Av,6
370,Whitlock Av,6
371,Hunts Point Av,6
372,Longwood Av,6
373,E 149 St,6
374,E 143 St-St Mary's St,6
375,Cypress Av,6
376,Brook Av,6
377,3 Av-138 St,6
378,Woodlawn,4
379,Mosholu Pkwy,4
380,Bedford Park Blvd-Lehman College,4
381,Kingsbridge Rd,4
382,Fordham Rd,4
383,183 St,4
384,Burnside Av,4
385,176 St,4
386,Mt Eden Av,4
387,170 St,4
388,167 St,4
389,161 St-Yankee Stadium,4
390,149 St-Grand Concourse,4
391,138 St-Grand Concourse,4 5
392,125 St,4 5 6
393,116 St,6
394,110 St,6
395,103 St,6
396,96 St,6
397,86 St,4 5 6
398,77 St,6
399,68 St-Hunter College,6
400,59 St,4 5 6
401,51 St,6
402,Grand Central-42 St,4 5 6
403,33 St,6
404,28 St,6
405,23 St,6
406,14 St-Union Sq,4 5 6
407,Astor Pl,6
408,Bleecker St,6
409,Spring St,6
410,Canal St,6
411,Brooklyn Bridge-City Hall,4 5 6
412,Fulton St,4 5
413,Wall St,4 5
414,Bowling Green,4 5
415,Borough Hall,4 5
416,Wakefield-241 St,2
417,Nereid Av,2 5
418,233 St,2 5
419,225 St,2 5
420,219 St,2 5
421,Gun Hill Rd,2 5
422,Burke Av,2 5
423,Allerton Av,2 5
424,Pelham Pkwy,2 5
425,Bronx Park East,2 5
426,E 180 St,2 5
427,West Farms Sq-E Tremont Av,2 5
428,174 St,2 5
429,Freeman St,2 5
430,Simpson St,2 5
431,Intervale Av,2 5
432,Prospect Av,2 5
433,Jackson Av,2 5
434,3 Av-149 St,2 5
435,149 St-Grand Concourse,2 5
436,Harlem-148 St,3
437,145 St,3
438,135 St,2 3
439,125 St,2 3
440,116 St,2 3
441,Central Park North (110 St),2 3
442,Eastchester-Dyre Av,5
443,Baychester Av,5
444,Gun Hill Rd,5
445,Pelham Pkwy,5
446,Morris Park,5
447,Flushing-Main St,7
448,Mets-Willets Point,7
449,111 St,7
450,103 St-Corona Plaza,7
451,Junction Blvd,7
452,90 St-Elmhurst Av,7
453,82 St-Jackson Hts,7
454,74 St-Broadway,7
455,69 St,7
456,61 St-Woodside,7
457,52 St,7
458,46 St-Bliss St,7
459,40 St-Lowery St,7
460,33 St-Rawson St,7
461,Queensboro Plaza,7
461,Queensboro Plaza,N W
462,Court Sq,7
463,Hunters Point Av,7
464,Vernon Blvd-Jackson Av,7
465,Grand Central-42 St,7
466,5 Av,7
467,Times Sq-42 St,7
468,Times Sq-42 St,S
469,Grand Central-42 St,S
471,34 St-Hudson Yards,7
475,96 St,Q
476,86 St,Q
477,72 St,Q
501,St George,SIR
502,Tompkinsville,SIR
503,Stapleton,SIR
504,Clifton,SIR
505,Grasmere,SIR
506,Old Town,SIR
507,Dongan Hills,SIR
508,Jefferson Av,SIR
509,Grant City,SIR
510,New Dorp,SIR
511,Oakwood Heights,SIR
512,Bay Terrace,SIR
513,Great Kills,SIR
514,Eltingville,SIR
515,Annadale,SIR
516,Huguenot,SIR
517,Prince's Bay,SIR
518,Pleasant Plains,SIR
519,Richmond Valley,SIR
522,Tottenville,SIR
523,Arthur Kill,SIR
